cincinnati AWAYWINOVER tulane 10 
memphis HOMEWINOVER tulsa 10 
mississippi-st HOMEWINOVER arkansas 10 
auburn AWAYWINOVER ole-miss 10 
oregon HOMEWINOVER stanford 10 
tcu AWAYWINOVER west-virginia 10 
kansas-st HOMEWINOVER oklahoma-st 10 
notre-dame AWAYWINOVER navy 10 
florida AWAYWINOVER georgia 10 
ucla HOMEWINOVER arizona 10 
baylor HOMEWINOVER kansas 10 
arizona-st HOMEWINOVER utah 10 
nebraska HOMEWINOVER purdue 10 
ohio-st HOMEWINOVER illinois 10 
oklahoma AWAYWINOVER iowa-st 10 
temple HOMEWINOVER east-carolina 10 
duke AWAYWINOVER pittsburgh 10 
air-force AWAYWINOVER army 10 
texas-am HOMEWINOVER la-monroe 10 
wisconsin AWAYWINOVER rutgers 10 
maryland AWAYWINOVER penn-st 10 
iowa HOMEWINOVER northwestern 10 
rice AWAYWINOVER fiu 10 
uconn HOMEWINOVER ucf 10 
miami-fl HOMEWINOVER north-carolina 10 
boston-college AWAYWINOVER virginia-tech 10 
washington AWAYWINOVER colorado 10 
central-mich AWAYWINOVER eastern-mich 10 
western-mich AWAYWINOVER miami-oh 10 
north-carolina-st AWAYWINOVER syracuse 10 
louisiana-tech HOMEWINOVER western-ky 10 
georgia-tech HOMEWINOVER virginia 10 
michigan HOMEWINOVER indiana 10 
byu AWAYWINOVER middle-tenn 10 
appalachian-st HOMEWINOVER georgia-st 10 
missouri HOMEWINOVER kentucky 10 
texas-st AWAYWINOVER new-mexico-st 10 
houston AWAYWINOVER south-fla 10 
southern-california AWAYWINOVER washington-st 10 
la-lafayette HOMEWINOVER south-ala 10 
arkansas-st AWAYWINOVER idaho 10 
new-mexico AWAYWINOVER unlv 10 
vanderbilt HOMEWINOVER old-dominion 10 
uab AWAYWINOVER fla-atlantic 10 
colorado-st AWAYWINOVER san-jose-st 10 
tennessee AWAYWINOVER south-carolina 10 
texas AWAYWINOVER texas-tech 10 
utep HOMEWINOVER southern-miss 10 
california AWAYWINOVER oregon-st 10 
nevada HOMEWINOVER san-diego-st 10 
wyoming AWAYWINOVER fresno-st 10 
utah-st AWAYWINOVER hawaii 10 
bowling-green AWAYWINOVER akron 11 
toledo AWAYWINOVER kent-st 11 
northern-ill AWAYWINOVER ball-st 11 
ohio HOMEWINOVER buffalo 11 
clemson AWAYWINOVER wake-forest 11 
memphis AWAYWINOVER temple 11 
utah-st AWAYWINOVER wyoming 11 
mississippi-st HOMEWINOVER ut-martin 11 
florida-st HOMEWINOVER virginia 11 
texas-am AWAYWINOVER auburn 11 
oregon AWAYWINOVER utah 11 
alabama AWAYWINOVER lsu 11 
tcu HOMEWINOVER kansas-st 11 
ohio-st AWAYWINOVER michigan-st 11 
arizona-st HOMEWINOVER notre-dame 11 
ole-miss HOMEWINOVER presbyterian 11 
baylor AWAYWINOVER oklahoma 11 
ucla AWAYWINOVER washington 11 
arizona HOMEWINOVER colorado 11 
georgia AWAYWINOVER kentucky 11 
duke AWAYWINOVER syracuse 11 
texas HOMEWINOVER west-virginia 11 
georgia-tech AWAYWINOVER north-carolina-st 11 
wisconsin AWAYWINOVER purdue 11 
penn-st AWAYWINOVER indiana 11 
minnesota HOMEWINOVER iowa 11 
rice HOMEWINOVER utsa 11 
louisiana-tech AWAYWINOVER uab 11 
tulsa HOMEWINOVER smu 11 
troy HOMEWINOVER georgia-st 11 
arkansas-st HOMEWINOVER south-ala 11 
kansas HOMEWINOVER iowa-st 11 
michigan AWAYWINOVER northwestern 11 
old-dominion HOMEWINOVER fiu 11 
army HOMEWINOVER uconn 11 
appalachian-st HOMEWINOVER la-monroe 11 
tulane AWAYWINOVER houston 11 
washington-st AWAYWINOVER oregon-st 11 
western-ky HOMEWINOVER utep 11 
air-force AWAYWINOVER unlv 11 
ga-southern AWAYWINOVER texas-st 11 
san-diego-st HOMEWINOVER idaho 11 
marshall AWAYWINOVER southern-miss 11 
north-texas HOMEWINOVER fla-atlantic 11 
boise-st AWAYWINOVER new-mexico 11 
colorado-st HOMEWINOVER hawaii 11 
louisville AWAYWINOVER boston-college 11 
florida AWAYWINOVER vanderbilt 11 
la-lafayette AWAYWINOVER new-mexico-st 11 
fresno-st HOMEWINOVER san-jose-st 11 
northern-ill HOMEWINOVER toledo 12 
buffalo HOMEWINOVER akron 12 
bowling-green HOMEWINOVER kent-st 12 
massachusetts HOMEWINOVER ball-st 12 
cincinnati HOMEWINOVER east-carolina 12 
utsa HOMEWINOVER southern-miss 12 
southern-california HOMEWINOVER california 12 
ucf HOMEWINOVER tulsa 12 
alabama HOMEWINOVER mississippi-st 12 
florida-st AWAYWINOVER miami-fl 12 
tcu AWAYWINOVER kansas 12 
oregon-st HOMEWINOVER arizona-st 12 
ohio-st AWAYWINOVER minnesota 12 
georgia HOMEWINOVER auburn 12 
michigan-st AWAYWINOVER maryland 12 
arizona HOMEWINOVER washington 12 
wisconsin HOMEWINOVER nebraska 12 
arkansas HOMEWINOVER lsu 12 
northwestern AWAYWINOVER notre-dame 12 
georgia-tech HOMEWINOVER clemson 12 
